Id,Name,One Line Description,Location,Time,Avg. Rating,Ticket Price
71,Chicago Bulls vs. Los Angeles Lakers,NBA rivalry at United Center,United Center Chicago,January 5 2025 7:00 PM,4.8,$75
72,"The Lion King",Experience the magic of Disney,Minskoff Theatre NYC,February 7 2025 2:00 PM,4.8,$85
73,Los Angeles Dodgers vs. San Francisco Giants,MLB showdown at Dodger Stadium,Dodger Stadium Los Angeles,May 14 2025 6:30 PM,4.9,$60
74,Boston Marathon,Iconic annual marathon race,Various Locations Boston,April 20 2025 9:00 AM,4.7,$100
75,Chicago Bears vs. New York Giants,NFL clash at Soldier Field,Soldier Field Chicago,October 12 2025 12:00 PM,4.6,$65
76,"Hamilton",Don't miss the cultural phenomenon,Richard Rodgers Theatre NYC,March 25 2025 7:00 PM,4.9,$90
77,San Francisco Giants vs. Los Angeles Dodgers,MLB rivalry at Oracle Park,Oracle Park San Francisco,June 5 2025 7:15 PM,4.8,$70
78,New York Rangers vs. Chicago Blackhawks,NHL face-off at Madison Square Garden,Madison Square Garden NYC,December 5 2025 7:00 PM,4.7,$75
79,Golden State Warriors vs. Los Angeles Lakers,NBA rivalry at Chase Center,Chase Center San Francisco,February 15 2025 6:30 PM,4.6,$80
80,Boston Red Sox vs. New York Yankees,MLB classic at Fenway Park,Fenway Park Boston,July 15 2025 7:10 PM,4.7,$60
81,Chicago Cubs vs. Los Angeles Dodgers,MLB action at Wrigley Field,Wrigley Field Chicago,June 10 2025 1:20 PM,4.6,$65
82,"Wicked",Experience the enchanting tale,Gershwin Theatre NYC,April 10 2025 8:00 PM,4.8,$85
83,Los Angeles Rams vs. Chicago Bears,NFL showdown at SoFi Stadium,SoFi Stadium Los Angeles,November 2 2025 8:20 PM,4.7,$70
84,San Francisco 49ers vs. Seattle Seahawks,NFL clash at Levi's Stadium,Levi's Stadium San Francisco,November 8 2025 1:25 PM,4.8,$75
85,Boston Celtics vs. Golden State Warriors,NBA showdown at TD Garden,TD Garden Boston,February 5 2025 7:30 PM,4.7,$80
86,"Chicago",Experience the classic musical,Ambassador Theatre NYC,May 10 2025 8:00 PM,4.7,$70
87,New York Yankees vs. San Francisco Giants,MLB clash at Yankee Stadium,Yankee Stadium NYC,June 20 2025 7:05 PM,4.8,$60
88,Los Angeles Clippers vs. Boston Celtics,NBA matchup at Crypto.com Arena,Crypto.com Arena Los Angeles,February 20 2025 6:00 PM,4.7,$75
89,Chicago Bulls vs. Los Angeles Lakers,NBA showdown at United Center,United Center Chicago,March 15 2025 7:00 PM,4.8,$80
90,"The Phantom of the Opera",Experience the iconic musical,Majestic Theatre NYC,July 20 2025 8:00 PM,4.9,$90
91,New York Knicks vs. Golden State Warriors,NBA game at Madison Square Garden,Madison Square Garden NYC,February 25 2025 7:30 PM,4.7,$75
92,Los Angeles Dodgers vs. Boston Red Sox,MLB showdown at Dodger Stadium,Dodger Stadium Los Angeles,May 30 2025 6:30 PM,4.8,$70
93,Boston Red Sox vs. Chicago White Sox,MLB action at Fenway Park,Fenway Park Boston,July 25 2025 7:10 PM,4.7,$65
94,Chicago Cubs vs. San Francisco Giants,MLB action at Wrigley Field,Wrigley Field Chicago,April 15 2025 1:20 PM,4.6,$60
95,"Les Misérables",Epic tale of revolution,Imperial Theatre NYC,May 5 2025 7:00 PM,4.9,$85
96,Los Angeles Rams vs. New York Giants,NFL clash at SoFi Stadium,SoFi Stadium Los Angeles,December 12 2025 8:20 PM,4.7,$70
97,San Francisco 49ers vs. Chicago Bears,NFL showdown at Levi's Stadium,Levi's Stadium San Francisco,December 5 2025 1:25 PM,4.8,$75
98,Boston Celtics vs. Los Angeles Lakers,NBA showdown at TD Garden,TD Garden Boston,January 10 2025 7:30 PM,4.7,$80
99,"The Book of Mormon",Hilarious musical comedy,Eugene O'Neill Theatre NYC,February 28 2025 7:30 PM,4.8,$85
100,New York Rangers vs. San Francisco Sharks,NHL face-off at Madison Square Garden,Madison Square Garden NYC,December 18 2025 7:00 PM,4.7,$75
